Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,34.32281,31.33838,32.96875,32.40625,39.648,39.36719,31.07031,35.67578,39.05078,35.25391,34.12891,33.86523,39.912,34.28711,38.78711,32.38867,34.07617,38.85742,33.05664,39.947,39.666,37.41602,37.62695,36.65137,38.62012,34.68262,37.91699,36.2998,39.394,36.01855,32.81934,33.31152,32.73145,38.0752,37.93457,36.7041,38.53223,37.34131,35.44287,37.8335,36.4624,35.40771,37.65771,31.47021,34.98584,35.70654,38.30811,31.41748,31.66357,38.27295,37.71045,33.4917,36.51514,31.03076,38.89697,31.1626,34.04541,38.12354,36.99854,38.43994,31.97119,31.33838,34.83643,38.49268,33.50049,35.89111,38.14111,35.60986,38.94971,31.28564,36.35034,34.59253,32.06128,39.374,35.0144,36.7019,37.15894,39.901,34.1355,37.22925,33.52026,37.73901,33.80151,31.55151,33.66089,35.73511,37.63354,37.07104,33.63452,32.79077,32.6853,32.96655,37.67749,38.08179,35.97241,35.12866,37.73022,38.7146,33.93335,36.99194,34.88257,39.594,33.26538,38.04224,39.09692,35.44067,38.25317,33.8938,35.0188,37.86646,36.46021,36.03833,32.94458,32.87427,33.99927,35.82739,38.35864,36.12622,33.59497,31.27466,36.33716,37.74341,33.10278,31.38013,38.552,36.23169,34.82544,35.80981,34.12231,33.26978,38.19165,37.3479,32.8479,34.74634,36.15259,38.01587,31.8811,39.967,35.04517,39.545,36.13501,33.04126,35.85376,37.61157,31.5647,37.7522,37.05017,35.08142,39.933,35.89001,32.30408,32.46228,32.32166,34.78259,36.75134,37.84119,35.02869,36.43494,36.99744,34.88806,37.70056,32.35681,31.02087,37.21716,33.84216,36.37341,39.889,39.04529,33.77185,32.50623,31.97888,31.55701,32.33044,35.14294,33.87732,32.94568,34.35193,39.414,39.555,38.11365,33.75427,31.15271,38.60583,38.96179,34.49695,34.7782,37.16882,34.07507,36.97546,37.67859,32.05359,32.89734,35.4989,33.67078,34.23328,35.63953,32.51062,35.745,38.34656,39.463,38.75964,34.54089
L1,,in,18.14325,16.06299,20.59375,14.40625,17.14844,13.49219,18.97656,19.29297,20.41797,21.12109,15.49609,15.79492,14.5293,13.4043,17.9043,19.52148,14.45898,14.17773,21.52539,17.44727,21.66602,14.91602,13.7207,16.38379,17.22754,18.91504,20.18066,16.03223,15.75098,14.62598,15.43457,17.47363,16.92871,21.70996,19.31934,15.62793,13.7998,17.37256,14.06787,17.86475,20.22021,15.6499,13.3999,20.7124,13.54053,15.94873,19.25342,15.17529,19.56982,15.77295,20.83545,15.4917,20.48389,20.90576,19.75439,21.30127,17.15283,15.32471,14.19971,19.93018,13.46143,16.06299,17.34619,14.25244,21.77588,21.9165,15.1665,17.13525,21.24854,14.42822,18.91724,16.03442,15.75317,16.31567,16.73755,20.67505,16.42114,21.83521,13.81958,17.47583,17.84497,13.62622,13.06372,19.81372,20.2356,14.927,15.41919,19.35669,21.51001,21.22876,18.66235,20.6311,17.32642,18.89087,19.03149,14.81274,15.86743,21.91431,21.63306,18.15259,14.07446,15.69165,15.83228,21.72534,19.40503,15.74878,18.56128,18.98315,13.35815,14.30737,18.52612,18.66675,21.7605,15.92456,14.79956,20.00269,17.47144,15.23901,13.27026,14.46558,16.15308,16.99683,15.1687,18.15698,16.61011,13.44604,18.22729,19.49292,13.30542,19.20288,17.09351,16.81226,21.31226,14.77319,18.99194,18.95679,17.21655,21.50562,14.89624,19.39624,14.50952,17.60327,15.91577,16.54858,13.03296,19.22046,14.00085,14.2821,17.72742,14.31726,21.2782,14.6864,16.79578,15.45984,17.99109,13.66687,19.85437,19.01062,21.82312,17.1825,19.995,15.21375,21.75281,21.16394,13.28894,19.75769,16.80457,13.71082,13.78113,19.54675,13.74597,14.4491,19.01941,18.45691,21.69128,16.99792,18.40417,15.59167,21.9198,20.68933,18.29871,17.10339,17.52527,15.88611,14.58533,18.80408,14.4447,19.22595,20.29822,21.56384,20.43884,21.84509,13.89978,17.69666,17.13416,15.72791,13.93494,17.45056,14.42712,15.54333,19.05896,21.59021
L2,,in,12.75818,24.84863,11.5625,20.9375,31.48438,11.79688,20.70313,11.91406,23.16406,11.44531,30.19531,15.25391,25.09766,28.84766,13.84766,11.26953,9.39453,29.08203,15.13672,16.54297,6.23047,13.73047,24.27734,12.11914,13.05664,22.43164,17.27539,8.60352,17.04102,28.29102,28.17383,14.81445,25.06836,14.75586,29.28711,14.63867,26.35742,33.90137,30.38574,22.41699,12.9248,7.06543,29.56543,5.19043,21.59668,5.13184,25.52246,23.17871,6.4209,31.26465,33.13965,5.95215,22.59277,11.81152,25.43457,19.34082,6.4502,23.79395,5.04395,11.48926,23.67676,24.84863,7.56348,25.37598,8.2666,13.42285,5.92285,10.61035,27.60254,6.74316,27.65381,13.82568,11.01318,24.13818,6.79443,19.91943,25.19287,30.5835,14.17725,5.73975,6.50146,33.68896,16.81396,9.31396,21.97021,20.44678,12.24365,21.61865,17.60498,7.29248,18.19092,24.75342,28.26904,28.6792,19.77295,20.71045,24.69482,34.53857,7.35107,24.10889,22.70264,13.56201,17.78076,31.71143,8.03955,12.72705,22.10205,12.2583,31.0083,12.84424,30.65674,23.62549,9.56299,23.85986,5.10986,32.76611,18.70361,30.83252,28.02002,23.56689,25.44189,9.50439,14.66064,14.07471,23.91846,17.12158,23.68408,13.84033,11.96533,15.21729,13.81104,10.99854,25.99854,15.45166,23.88916,32.44385,17.26807,11.87744,9.53369,24.53369,13.63525,12.69775,22.07275,26.05713,14.33838,12.46338,20.39185,23.20435,33.75122,16.05591,9.25903,14.47388,29.00513,22.677,12.3645,29.59106,5.21606,13.65356,8.02856,10.37231,15.99731,5.68481,22.79419,33.54614,29.79614,19.48364,10.57739,34.01489,19.24927,10.34302,10.92896,18.89771,19.13208,21.00708,23.35083,24.46411,17.90161,27.27661,22.12036,31.84692,22.00317,12.3938,29.73755,6.40259,28.08228,25.26978,22.92603,16.36353,5.28931,13.25806,9.50806,25.44556,5.05493,24.27368,7.39868,6.46118,13.84399,26.50024,11.26587,16.39282,8.42407,24.36157
L3,,in,9.18542,2.65527,6.3125,9.4375,3.42188,4.35938,4.82813,8.46094,7.21094,9.55469,3.30469,9.45703,2.73828,3.98828,8.98828,5.00391,1.87891,7.81641,2.93359,9.65234,9.96484,2.46484,5.98047,3.76367,1.57617,3.45117,8.91992,3.2168,5.4043,4.1543,5.05273,5.59961,9.68164,1.86914,6.08789,10.9707,2.37695,3.3291,2.31348,6.21973,8.44629,9.14941,6.64941,7.27441,3.68066,8.62207,4.48145,8.0752,4.05176,8.89551,8.27051,5.45801,3.19238,5.84863,2.30371,2.77246,9.72559,7.06934,8.31934,4.76465,1.95215,2.65527,5.91699,5.60449,8.80762,1.77637,9.27637,2.71387,6.97168,4.8623,6.59814,6.36377,8.55127,2.92627,5.58252,4.95752,4.84033,6.63721,4.60596,8.66846,2.3208,10.1333,2.0083,9.5083,8.10205,10.48486,1.96924,3.84424,9.57666,6.76416,8.67822,7.74072,5.63135,5.4165,2.13525,9.32275,9.08838,3.61963,10.80713,7.25244,3.97119,8.73682,4.51807,8.22412,7.8335,3.771,5.646,2.98975,9.23975,5.45068,9.51318,2.48193,2.79443,4.12256,5.37256,10.21631,3.65381,4.45459,5.39209,3.75146,6.87646,4.06396,4.84521,3.55615,8.7124,5.04053,7.85303,7.38428,8.00928,2.4917,2.96045,5.77295,10.77295,7.10107,4.28857,10.81201,8.76123,7.58936,8.37061,3.37061,6.61279,9.42529,10.05029,7.00342,5.28467,5.90967,5.44214,4.50464,6.14526,8.99683,4.5437,1.82886,6.04761,8.15698,9.09448,5.85229,3.97729,9.28979,4.91479,6.32104,6.94604,5.38354,4.68042,6.7605,3.0105,3.948,8.79175,7.85425,6.83862,1.99487,3.28394,8.75269,5.86206,10.23706,7.26831,6.85815,6.54565,8.42065,5.7644,4.86597,4.08472,9.31909,4.16284,9.75366,10.49585,8.93335,2.5271,10.3396,2.97632,9.07007,7.82007,5.63257,10.24194,10.39819,7.27319,6.33569,3.64038,8.17163,10.12476,10.56421,6.03296,6.34546
L4,,in,9.06506,8.50293,12.0625,11.4375,6.98438,4.79688,12.76563,10.53906,4.28906,4.44531,8.19531,9.46484,4.93359,3.68359,8.68359,5.63672,8.76172,7.19922,5.91016,5.75391,5.44141,7.94141,12.86328,10.70508,7.26758,7.89258,12.11133,6.87695,10.93945,4.68945,3.08789,4.57227,9.2793,8.3418,5.37305,7.05273,7.83398,5.52441,3.10254,9.50879,4.3916,7.59473,10.09473,9.46973,10.56348,3.2002,10.77832,10.93457,3.55176,5.89551,9.02051,9.95801,10.50488,10.66113,4.01074,10.10449,5.49512,5.33887,11.58887,12.95605,5.76855,8.50293,12.70215,8.63965,11.53027,9.81152,12.31152,11.37402,10.31934,6.49121,9.07666,8.21729,4.77979,7.90479,7.74854,8.37354,9.89697,5.2876,11.38135,11.06885,12.37744,11.43994,8.31494,10.81494,5.65869,10.38525,9.83838,9.21338,7.56299,11.62549,11.35205,9.16455,9.24268,11.56689,6.41064,7.97314,5.39502,3.67627,12.11377,5.98096,5.51221,7.46533,9.80908,7.65576,8.98389,6.17139,5.54639,5.70264,11.95264,7.69482,7.38232,8.47607,11.91357,4.1792,12.9292,10.27295,9.96045,9.66748,4.35498,4.74561,9.12061,5.68311,3.33936,3.84717,6.19092,12.20654,10.64404,7.36279,9.23779,7.15771,6.68896,12.62646,7.62646,5.82959,6.76709,6.18115,10.18506,11.82568,11.35693,6.35693,5.22412,6.78662,7.41162,11.396,5.61475,9.98975,5.44019,10.12769,10.04956,4.46362,5.948,9.56128,3.78003,4.17065,9.48315,10.85034,11.47534,10.53784,6.16284,6.63159,9.75659,6.94409,12.49097,6.71948,5.46948,8.28198,9.68823,11.87573,5.54761,7.26636,7.38354,8.47729,9.80542,11.68042,9.96167,5.37183,9.43433,10.05933,4.90308,6.34839,4.00464,11.58276,9.23901,9.75171,9.32202,11.50952,11.35327,12.91577,10.31812,5.78687,7.03687,10.47437,7.89624,4.30249,3.67749,8.98999,5.98218,11.45093,9.1853,8.14038,8.92163,12.98413
L5,,in,15.51733,26.00195,18.375,17.125,22.59375,28.21875,12.90625,13.14063,25.64063,26.57813,24.07813,12.24219,12.55469,20.05469,10.05469,9.58594,28.33594,13.96094,27.32031,14.50781,10.13281,25.13281,23.10156,25.26953,17.14453,25.89453,26.20703,13.86328,19.48828,16.98828,12.37891,27.22266,23.51172,19.13672,11.94922,14.21484,16.40234,26.88086,26.41211,24.84961,9.92773,23.20898,28.20898,14.45898,10.39648,12.54492,20.82617,13.63867,13.56055,25.12305,13.87305,9.49805,12.4668,10.9043,22.17383,11.86133,24.51758,27.95508,10.45508,28.0332,28.6582,26.00195,18.15039,20.02539,12.68164,24.86914,9.86914,19.24414,13.54102,11.50977,14.95215,22.2959,10.4209,16.6709,15.7334,9.4834,28.62402,10.96777,15.65527,18.78027,18.03809,14.91309,13.66309,28.66309,25.85059,17.33496,11.55371,12.80371,16.37793,27.00293,9.89355,15.51855,22.2373,10.71387,13.52637,9.15137,13.68262,13.37012,28.99512,21.41699,12.97949,25.94824,19.38574,11.87598,20.46973,14.84473,28.59473,25.15723,27.65723,9.61035,21.48535,16.79785,21.17285,22.2666,14.7666,23.8291,11.9541,14.41504,16.29004,9.88379,21.13379,28.00879,21.44629,28.24316,9.18066,27.77441,24.64941,14.33691,10.58691,21.23145,23.41895,9.04395,19.04395,24.5127,28.8877,21.15332,28.77051,14.23926,17.05176,27.05176,16.34863,23.22363,9.47363,27.12988,27.44238,23.69238,19.18311,21.05811,16.52686,11.91748,10.51123,10.86279,23.05029,26.95654,27.58154,15.62842,26.87842,25.00342,28.75342,15.31592,9.06592,25.94092,12.03467,14.47607,11.97607,12.60107,11.66357,18.53857,21.50732,22.44482,24.39795,13.46045,16.7417,22.9917,18.9292,26.62451,14.74951,28.49951,15.06201,17.48389,9.04639,23.57764,15.14014,17.49365,23.19678,28.82178,15.38428,17.25928,12.68896,25.50146,18.00146,11.12646,21.59521,18.78271,17.53271,18.15771,24.32959,24.01709,25.11084,13.91943,23.60693,14.23193
L7,,in,21.97986,10.75293,23.3125,17.6875,19.79688,11.35938,22.32813,17.19531,19.44531,7.35156,14.10156,21.02734,13.99609,16.24609,7.24609,23.98047,18.35547,22.29297,14.34766,8.44141,23.62891,19.12891,17.01953,13.16992,24.98242,14.85742,21.32617,9.37305,16.68555,18.93555,21.67773,13.38086,12.64258,15.45508,11.23633,22.13477,11.16602,24.69238,8.80176,21.45801,18.85645,14.77832,19.27832,11.40332,9.99707,8.97754,15.86816,7.14941,9.75098,21.84473,16.21973,19.03223,11.0166,16.92285,20.52637,22.49512,10.82324,16.16699,18.41699,18.76855,18.20605,10.75293,24.14746,17.95996,19.50684,10.78809,15.28809,21.47559,11.56152,20.70215,19.36182,22.87744,12.18994,17.81494,10.22119,18.09619,15.21338,18.1665,20.69775,17.88525,15.31885,13.63135,17.00635,21.50635,10.5376,8.92041,9.90479,13.27979,15.02002,22.33252,11.71533,21.27783,14.38721,22.71924,9.50049,7.81299,23.42236,15.26611,7.95361,16.60205,24.1958,9.71143,7.74268,12.09326,19.82764,20.39014,10.26514,17.85889,24.60889,21.02295,8.08545,20.7417,19.0542,14.97607,12.72607,18.63232,14.69482,15.43311,11.49561,22.88623,8.26123,16.69873,19.79248,7.62842,24.78467,14.23779,12.55029,12.83154,22.95654,16.54053,11.75928,23.57178,14.57178,20.8999,23.7124,21.39209,19.95068,15.87256,20.09131,11.09131,19.88037,19.31787,11.44287,12.146,23.67725,13.55225,24.65942,19.59692,8.2063,12.63599,10.24536,10.42114,15.20239,18.99927,17.31177,9.22583,17.10083,22.16333,21.03833,20.19458,7.81958,7.25708,7.39771,15.50122,22.25122,22.81372,15.78247,24.21997,10.8606,19.01685,8.68091,22.46216,17.82153,18.94653,15.29028,14.41138,19.47388,9.34888,8.50513,12.65356,14.62231,8.01294,24.60669,24.05298,22.71704,9.77954,13.43579,15.12329,14.24438,19.02563,12.27563,21.83813,19.44751,9.04126,14.66626,9.60376,17.1272,10.65845,13.89282,23.82446,21.29321,18.48071
L8,,in,8.81409,13.5791,12.1875,6.5625,5.07813,13.51563,8.35938,8.08594,14.33594,8.24219,6.99219,5.44922,7.79297,11.54297,6.54297,10.37109,12.24609,9.43359,11.19141,7.28516,9.47266,11.97266,11.73828,10.49805,14.56055,10.18555,12.8418,13.07617,12.13867,5.88867,13.81836,10.30273,12.7832,7.4707,10.75195,11.65039,9.93164,7.51465,6.18652,12.59277,14.42871,8.88184,6.38184,8.25684,13.10059,14.21387,7.10449,10.69824,8.8623,6.20605,6.83105,13.39355,5.97168,11.44043,10.96191,8.61816,8.54004,14.00879,7.75879,5.84473,6.15723,13.5791,14.34082,13.40332,10.66895,9.8877,12.3877,7.0752,12.42676,10.00488,12.03369,14.92432,10.23682,7.11182,10.39307,8.51807,13.63525,13.55713,13.71338,12.15088,12.71729,7.40479,10.52979,8.02979,9.12354,11.81885,7.52197,13.14697,8.70361,6.51611,6.9458,14.1333,9.68018,13.25439,14.66064,5.59814,8.17627,5.83252,13.64502,5.55908,11.65283,11.41846,6.88721,6.89209,11.65771,14.47021,10.09521,7.43896,8.68896,5.2124,6.1499,9.11865,8.18115,5.29053,11.54053,13.57178,12.63428,9.52881,14.21631,13.20068,12.57568,14.13818,10.54443,8.396,6.67725,12.38037,7.69287,10.03662,8.16162,10.80811,12.21436,12.52686,7.52686,14.16748,5.72998,10.53467,13.40576,7.70264,9.10889,14.10889,8.83545,12.89795,12.27295,14.69482,12.03857,8.91357,8.67798,12.74048,8.4436,11.52954,12.38892,8.8147,13.03345,14.67407,14.98657,9.55688,5.18188,9.24438,11.11938,7.21313,14.08813,11.90063,8.85376,5.58228,6.83228,6.51978,8.86353,12.30103,7.69165,5.0354,13.59009,11.87134,13.19946,10.07446,5.23071,9.03931,10.60181,14.97681,12.63306,8.14087,7.04712,14.15649,10.87524,11.88599,6.06567,8.25317,14.65942,5.59692,7.10083,7.56958,11.31958,10.38208,8.42896,7.64771,13.27271,7.96021,12.84302,10.18677,9.01489,6.03638,13.38013,14.31763
A2,,deg,101.90887,157.16553,111.71875,172.65625,122.85156,139.25781,152.14844,101.46484,110.83984,165.91797,100.29297,131.78711,144.67773,172.80273,135.30273,147.60742,124.16992,159.32617,170.16602,110.40039,117.43164,173.68164,123.87695,174.34082,106.37207,148.55957,123.9502,171.41113,108.12988,117.50488,106.66504,124.8291,161.30371,154.27246,113.25684,117.06543,120.58105,133.94775,145.08057,155.62744,155.33447,110.21729,128.96729,161.77979,153.57666,118.56689,125.01221,144.93408,125.89111,127.06299,150.50049,157.53174,174.52393,117.10205,133.43506,127.57568,173.86475,116.44287,107.06787,172.98584,147.20459,157.16553,107.80029,152.33154,123.62061,138.85498,120.10498,145.88623,153.21045,156.14014,109.0271,121.33179,147.11304,161.17554,106.09741,138.90991,107.56226,155.02319,125.72632,170.25757,162.20093,155.16968,159.85718,103.60718,118.84155,146.08765,102.14233,163.07983,147.18628,121.40503,101.19019,159.78394,167.40112,170.18433,147.9187,159.63745,109.83276,141.47339,106.31714,134.14917,154.07104,119.50073,137.07886,119.0979,139.60571,160.69946,137.26196,154.84009,126.71509,166.26587,168.60962,153.37524,108.84399,150.44556,141.07056,139.89868,137.55493,115.72876,155.57251,126.86157,103.42407,171.39282,174.90845,158.20923,157.03735,151.76392,163.48267,171.68579,129.49829,120.19653,123.71216,154.18091,116.68091,104.37622,130.15747,171.46606,114.19067,151.10474,154.62036,117.12036,105.69458,131.47583,164.28833,162.53052,109.79614,151.98364,113.88855,149.0448,141.42761,172.77527,155.78308,128.09753,159.73816,113.4491,134.54285,127.21863,169.40613,124.87488,129.56238,149.48425,116.67175,133.078,151.24207,172.26257,125.38757,104.29382,147.6532,131.24695,147.06726,103.70789,115.7196,130.95398,110.44617,115.13367,128.02429,115.28015,103.5614,155.1239,172.70203,163.62,162.44812,156.00281,154.83093,139.41345,104.55017,106.89392,164.3158,152.59705,142.19666,159.77478,150.39978,124.61853,118.17322,138.09509,124.03259,163.87634,150.10681,127.84119,133.11462,135.53162,103.89099,148.42224
