Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
H,,in,35.57441,33.97565,31.28949,32.55511,36.56293,39.375,32.37933,33.50433,33.43402,39.05902,38.21527,33.57465,33.01215,38.3559,34.9809,32.18597,36.54535,34.64691,35.06879,34.50629,39.674,39.04144,36.51019,32.57269,39.18207,39.745,32.15082,39.33148,31.80804,38.73383,37.60883,38.31195,38.5932,35.2182,37.4682,39.1557,33.74164,36.13226,35.56976,38.08344,39.27875,37.8725,39.24359,36.5014,31.86078,39.872,33.47357,31.64545,36.46185,32.38373,35.82904,32.45404,37.81537,37.53412,38.79974,35.77631,34.37006,39.995,37.28802,34.19427,36.23334,37.63959,38.34271,31.03021,34.67767,35.9433,37.34955,39.424,32.39252,37.2265,35.11713,38.38666,38.10541,35.43353,35.92572,39.159,39.01837,38.28009,34.90509,38.84259,37.50665,36.1004,38.3504,34.14923,39.21173,34.00861,39.95,35.80157,37.20782,37.21661,38.62286,34.61505,35.59943,35.98615,34.72052,34.07013,38.71075,33.33185,38.81622,38.53497,38.46466,31.99591,37.20343,34.81281,35.72687,33.75812,31.1214,39.84,33.09015,38.94366,38.5921,39.436,36.72882,34.9007,39.04913,32.86163,37.22101,38.89972,36.36847,36.29816,32.07941,34.75128,34.29425,33.02863,39.779,34.69855,33.08136,36.45636,33.88995,35.99933,32.62433,36.84308,37.89777,34.52277,32.27277,38.03839,38.31744,36.06744,39.16119,36.20807,32.27057,38.52838,33.04401,31.91901,39.26666,38.28229,34.9776,32.7276,32.74518,36.89362,38.29987,34.50299,35.59283,37.28033,36.43658,36.01471,33.97565,37.0694,32.42877,38.33502,34.40631,31.31256,35.74225,37.42975,31.38287,38.97662,35.60162,36.19928,39.856,32.54303,39.08209,36.83209,35.28522,38.66022,39.486,38.22076,39.908,39.06451,33.43951,31.18951,37.44733,38.85358,37.58795,38.9942,33.3692,39.381,33.12311,38.18561,36.91998,39.451,34.94684,36.35309,39.869,32.34528,33.32965,31.07965,32.80231,35.05231,32.94293,38.49762,39.5,34.15582
L1,,in,21.15343,13.59491,18.48712,21.44025,17.85431,13.91681,14.58478,15.70978,21.12384,19.99884,21.40509,18.73322,14.79572,16.20197,17.32697,20.15704,16.36017,16.85236,15.86798,18.68048,20.96564,19.48907,18.64532,16.95782,21.8797,13.4422,14.84845,21.44904,19.83185,15.01544,16.14044,13.18732,17.40607,16.28107,14.03107,14.59357,14.66388,20.71075,14.52325,21.00958,21.22052,19.81427,13.80255,20.90411,19.07599,14.14093,20.39874,14.63312,20.64484,15.72296,17.6214,18.7464,15.67023,15.95148,21.99835,21.36554,20.52179,21.64679,18.0257,21.11945,15.56476,16.40851,15.42413,21.61163,20.74152,21.44464,14.41339,19.93292,13.46417,18.47394,13.83331,19.14191,20.54816,20.12628,16.96222,15.96136,13.57074,16.84027,15.71527,18.52777,18.45746,19.30121,17.05121,21.85004,14.53754,19.74066,15.34613,19.35394,16.82269,19.0639,15.40765,17.30609,16.04047,15.51312,16.77875,16.02289,18.13226,18.30804,18.72992,14.51117,17.53461,15.56586,17.93451,17.23138,19.5517,17.02045,13.32904,18.11029,20.36029,19.88568,21.64349,14.61224,16.05365,15.91302,21.46771,15.28021,13.45209,21.86322,21.01947,13.35541,13.07416,16.30853,18.31244,15.07806,17.32806,17.90814,13.61908,14.74408,13.23236,21.52924,20.40424,20.68549,13.58392,14.70892,21.45892,15.97455,20.74921,13.99921,13.15546,20.32733,13.01483,19.55389,14.06952,19.69452,15.86249,15.15936,13.1203,19.8703,15.38788,16.02069,19.67694,20.66132,19.99335,18.30585,19.7121,17.60272,13.59491,17.81366,19.92303,16.26678,15.67792,18.77167,20.1076,18.4201,13.49823,16.59198,13.21698,13.32245,20.9162,15.8537,21.97089,15.22089,20.14276,21.26776,15.37909,16.08221,13.26971,17.48846,16.36346,18.61346,21.0744,13.48065,18.68378,13.90253,15.02753,18.71893,19.49237,18.92987,13.16425,19.633,18.48602,21.57977,16.0954,20.10321,16.58759,18.83759,13.31805,20.06805,19.92743,18.02899,16.49969,20.15594
L2,,in,17.3362,28.76892,10.74768,9.34143,18.48206,16.60706,20.47424,9.22424,23.98987,27.73987,13.67737,12.27112,10.39612,16.95862,5.70862,8.57971,14.67346,10.22034,17.25159,30.37659,14.79065,16.90002,8.46252,29.08752,34.24377,13.61877,14.55627,26.77307,28.4137,29.93713,18.68713,21.96838,13.53088,9.78088,32.28088,7.90588,22.67151,19.39026,28.76526,6.20667,17.69104,31.75354,9.13635,12.65198,11.24573,20.89905,26.75842,27.22717,8.12561,15.15686,10.23499,13.98499,32.67639,22.36389,27.52014,31.03577,28.22327,24.47327,11.23108,19.66858,24.59045,10.52795,7.2467,16.6217,8.68225,28.8385,33.526,24.03381,6.22131,23.85803,22.45178,28.66272,7.10022,11.31897,9.20959,33.94714,17.54089,9.92371,13.67371,23.04871,13.43933,27.50183,20.00183,20.06042,14.43542,8.34167,30.95886,27.44324,20.88074,11.06628,34.50378,10.83191,31.92566,25.71472,16.80847,28.23425,30.578,29.05457,16.39832,6.08582,21.78894,9.60144,27.22351,14.56726,23.70789,11.52039,24.29382,15.85632,23.35632,32.43835,28.45398,33.14148,16.61804,12.39929,14.50867,8.88367,14.97742,7.03796,17.35046,18.52234,23.20984,19.92859,7.15515,13.2489,20.7489,16.12,9.79187,13.54187,25.61218,12.95593,9.20593,28.89343,32.87781,21.62781,29.12781,18.34656,15.11658,7.61658,17.92908,31.52283,10.89783,9.2572,22.85095,19.10095,24.60876,26.01501,19.21814,11.71814,29.58923,22.32361,15.76111,24.66736,28.53455,22.90955,6.97205,14.9408,28.76892,10.95642,13.30017,27.36267,30.61462,7.17712,21.00525,30.38025,22.4115,30.849,19.599,20.41931,13.85681,11.98181,31.43494,23.93494,14.09119,10.34119,14.03259,20.12634,29.50134,6.06384,17.31384,9.81384,19.89197,26.45447,31.61072,19.42322,8.17322,24.69666,16.02478,29.14978,23.05603,5.24353,31.83044,25.26794,34.17419,17.06482,10.97107,18.47107,17.88513,10.38513,23.04138,12.49451,27.90466,28.84216
L3,,in,8.79985,9.18054,6.4425,8.78625,6.83313,9.95813,1.55969,2.80969,3.98157,2.73157,10.54407,9.45032,7.57532,2.88782,4.13782,2.08704,8.49329,1.85266,10.13391,8.25891,4.39172,4.9386,2.7511,2.1261,10.40735,7.28235,6.34485,7.31165,1.45227,3.99133,5.24133,7.89758,9.46008,8.21008,10.71008,5.08508,4.22571,9.38196,6.25696,7.44836,2.52649,10.96399,8.0343,1.39368,2.48743,5.41223,2.05286,2.52161,1.54504,7.63879,3.49817,4.74817,2.11145,4.29895,9.4552,1.72083,3.28333,4.53333,7.15051,1.21301,8.00989,5.19739,9.72864,9.10364,2.64856,2.49231,7.80481,10.65637,6.59387,3.91809,7.51184,7.08215,10.51965,5.3634,10.91028,8.88025,4.6615,5.55994,1.80994,2.43494,8.91931,1.73181,9.23181,7.92322,6.04822,2.45447,6.47791,2.96228,8.27478,3.79236,4.72986,6.99548,6.83923,10.39392,10.86267,4.82751,5.60876,1.58533,3.92908,5.49158,1.66345,5.10095,8.73865,3.5824,8.19177,8.50427,1.27771,9.09021,6.59021,2.19568,4.7738,10.0863,2.85974,10.82849,2.31287,2.93787,2.15662,5.40857,3.22107,9.08044,5.64294,7.67419,3.80701,8.96326,6.46326,6.01404,5.46716,1.71716,10.7406,5.89685,2.14685,7.45935,10.03748,6.28748,3.78748,5.50623,2.52039,10.02039,7.83289,3.92664,5.80164,10.09851,9.62976,3.37976,4.74695,1.7782,9.35632,1.85632,9.06335,9.14148,8.82898,3.36023,1.60242,8.47742,5.03992,7.07117,9.18054,1.99304,3.08679,10.89929,2.88171,2.56921,4.67859,10.30359,3.89734,9.20984,10.45984,2.92078,2.60828,3.23328,6.59265,4.09265,8.9364,7.6864,7.58875,6.495,3.37,4.3075,3.0575,10.5575,7.51062,8.44812,2.97937,7.04187,10.79187,7.15906,10.36218,2.23718,6.76843,3.33093,9.80066,5.73816,10.58191,8.47253,3.00378,10.50378,9.1366,1.6366,5.85535,8.43347,2.63269,5.44519
L4,,in,6.15845,5.19299,3.58044,6.86169,8.34607,6.47107,7.29138,8.54138,7.68201,6.43201,8.61951,10.65076,3.77576,3.46326,4.71326,3.13123,9.53748,7.58435,8.3656,10.2406,5.82654,8.09216,4.65466,5.27966,5.12341,3.24841,8.56091,5.79724,8.84412,7.24255,8.49255,8.6488,11.4613,12.7113,5.2113,5.8363,12.16443,9.82068,9.19568,12.92615,9.41052,7.84802,4.60583,11.09021,8.12146,3.5658,9.11267,4.26892,6.33923,12.43298,9.22986,10.47986,12.99939,6.43689,7.84314,8.39001,3.07751,4.32751,6.47595,5.53845,11.08533,3.89783,5.61658,9.99158,8.90759,5.31384,11.25134,9.72791,3.79041,10.91931,10.76306,6.6615,3.849,10.88025,6.89587,8.90637,4.37512,8.47668,9.72668,10.35168,7.14856,9.96106,12.46106,6.23059,5.60559,12.01184,10.87903,4.8634,10.8009,7.78333,11.84583,10.36145,3.6427,11.25989,7.97864,12.76379,11.04504,8.34973,8.50598,12.56848,3.58411,10.14661,3.13977,5.79602,9.4679,4.1554,6.92883,5.99133,8.49133,9.48743,3.00305,12.06555,8.66711,11.94836,12.02649,3.90149,6.55774,8.89172,5.45422,7.40735,8.34485,8.8136,10.49329,8.77454,6.27454,10.3175,4.92688,3.67688,4.41907,6.76282,5.51282,10.20032,9.34094,8.09094,10.59094,3.87219,4.74377,7.24377,10.68127,9.27502,9.90002,4.04065,11.0719,7.3219,10.01721,11.73596,8.06409,10.56409,8.98206,4.21643,8.27893,3.74768,12.92737,7.30237,10.11487,5.89612,5.19299,3.63049,6.59924,7.53674,11.51135,5.57385,8.62073,4.24573,10.33948,9.40198,5.65198,12.95667,7.01917,8.89417,3.97229,6.47229,4.12854,5.37854,10.35901,8.95276,3.32776,5.51526,6.76526,4.26526,10.90588,6.21838,7.93713,7.62463,6.37463,6.1012,5.71057,3.83557,5.24182,4.92932,8.62561,8.31311,9.40686,11.35999,12.76624,10.26624,9.52405,12.02405,7.1803,12.41467,10.71545,9.15295
L5,,in,9.68,14.10132,10.52954,26.46704,16.31079,22.56079,28.73267,11.23267,12.63892,20.13892,27.01392,19.82642,18.57642,15.45142,27.95142,19.16235,20.72485,21.1936,16.5061,17.7561,15.64673,18.30298,25.17798,18.92798,25.49048,24.24048,26.11548,27.73657,26.95532,15.9397,23.4397,21.8772,28.7522,16.2522,11.2522,25.0022,10.78345,26.72095,27.97095,26.05688,24.65063,21.52563,20.35376,23.94751,25.51001,13.33228,28.80103,24.11353,15.2854,14.3479,17.94165,25.44165,16.10571,26.73071,27.66821,14.38696,16.26196,28.76196,24.15259,27.27759,13.99634,15.87134,10.55884,14.30884,13.62524,23.31274,25.18774,13.70337,13.07837,26.08618,18.27368,15.38306,9.75806,15.69556,10.85181,16.65503,24.46753,24.54565,17.04565,25.79565,27.2019,19.0769,14.0769,12.16284,20.91284,19.97534,10.20972,11.61597,15.99097,19.7605,11.6355,9.60425,19.91675,14.36987,24.68237,25.11206,27.29956,17.37769,16.44019,10.81519,11.90894,12.53394,14.08667,23.14917,22.68042,22.05542,21.03979,21.66479,26.66479,17.17261,19.51636,28.89136,24.28198,12.09448,26.31323,20.06323,26.62573,26.6062,15.9812,25.19995,9.57495,11.13745,22.46558,21.52808,26.52808,25.31714,12.97339,20.47339,24.30151,13.36401,20.86401,16.48901,20.08276,12.58276,27.58276,12.27026,20.07788,15.07788,28.20288,21.64038,10.39038,15.54663,20.85913,23.35913,21.40601,15.46851,18.12476,23.12476,10.58569,16.05444,27.92944,28.24194,25.19507,28.94507,20.82007,17.38257,14.10132,18.47632,10.66382,12.53882,15.05835,26.93335,28.0271,24.2771,25.8396,28.9646,11.4646,15.76147,28.88647,22.63647,18.41772,23.41772,14.98022,27.48022,11.81616,22.75366,19.00366,25.87866,18.37866,23.37866,13.53491,20.40991,21.34741,9.47241,21.97241,28.61304,20.95679,27.20679,26.89429,18.76929,20.65405,23.77905,22.84155,21.1228,20.8103,15.8103,13.85718,28.85718,25.41968,19.01343,27.48999,9.36499
L7,,in,17.86,21.47888,20.23743,13.76868,9.9718,15.5968,23.82336,21.57336,8.49524,24.24524,14.68274,12.71399,7.08899,13.27649,20.02649,21.88977,7.54602,24.2804,11.06165,12.18665,18.86633,7.19446,19.00696,11.13196,11.97571,10.85071,15.91321,8.65344,23.13782,21.38,23.63,7.03625,16.59875,14.34875,18.84875,17.72375,13.36438,19.27063,22.64563,11.21985,16.42297,9.11047,10.02454,9.04016,9.32141,7.55481,19.78918,11.07043,23.65637,11.00012,11.9845,18.7345,18.55872,7.87122,17.15247,16.16809,21.23059,9.98059,16.2384,22.4259,16.37903,9.06653,15.53528,21.16028,24.72864,22.75989,7.57239,19.87708,17.06458,11.75598,11.47473,8.45129,18.01379,19.42004,20.12317,23.08289,18.30164,12.60632,19.35632,11.48132,15.55945,22.87195,18.37195,16.22742,8.35242,21.00867,18.82898,18.12585,15.31335,17.9325,11.745,12.44812,12.72937,13.92468,15.89343,19.02234,14.80359,21.34265,15.9989,16.5614,13.60828,14.17078,24.65613,8.06238,16.92175,19.73425,8.97644,10.66394,24.16394,11.2616,12.24597,18.43347,7.81628,17.09753,10.20691,18.08191,18.36316,15.77917,21.96667,12.26355,10.57605,22.6698,7.41199,17.81824,13.31824,24.11121,8.78308,24.53308,14.61902,17.71277,15.46277,7.02527,24.60339,8.85339,13.35339,20.38464,19.0531,23.5531,11.7406,13.14685,21.02185,21.44373,9.91248,12.16248,10.68591,23.34216,23.20154,18.70154,24.78357,14.51794,19.58044,8.61169,8.96326,7.83826,17.40076,13.74451,21.47888,23.16638,22.32263,24.01013,16.89099,12.95349,12.25037,13.37537,17.03162,22.09412,24.34412,10.07068,24.13318,11.75818,9.0863,13.5863,18.93005,12.18005,16.78552,22.69177,21.56677,12.00427,18.75427,23.25427,19.17615,15.23865,23.3949,9.3324,20.5824,21.07458,18.40271,15.02771,23.74646,9.68396,18.02478,20.83728,13.24353,21.25916,13.10291,8.60291,19.07947,23.57947,8.67322,14.72009,23.54431,24.10681
L8,,in,5.3337,12.16858,6.60828,11.76453,10.4364,12.3114,10.94421,7.19421,9.30359,10.55359,11.49109,12.58484,14.45984,11.02234,9.77234,8.54187,10.26062,6.58875,8.62,12.995,5.76843,13.34656,11.78406,13.65906,9.75281,14.12781,9.44031,10.07507,6.87195,14.09851,7.84851,11.12976,7.69226,11.44226,13.94226,12.06726,7.92664,7.14539,11.52039,8.68835,9.07898,7.51648,7.63367,12.55554,11.46179,11.61316,12.78503,9.50378,10.6366,7.98035,8.37097,12.12097,11.828,13.3905,10.73425,13.62488,7.68738,11.43738,13.89832,10.46082,6.94519,6.00769,5.85144,12.72644,6.93542,14.59167,8.02917,6.58386,6.27136,14.45496,8.36121,6.83777,14.65027,8.86902,10.19714,14.65149,8.55774,5.54993,14.29993,11.17493,10.4718,11.4093,8.9093,13.61633,11.74133,9.39758,11.4679,6.54602,11.23352,10.14954,9.21204,13.82141,6.47766,14.5636,6.90735,7.90344,8.99719,5.83313,11.61438,13.80188,12.16125,12.47375,7.32239,7.79114,9.74426,9.43176,7.12708,13.06458,10.56458,6.91223,9.49036,12.92786,10.54504,8.82629,14.99817,6.87317,7.96692,5.3009,9.9884,10.22278,8.03528,11.00403,14.40247,12.05872,14.55872,10.78918,10.71106,9.46106,8.172,6.76575,13.01575,5.20325,14.50012,5.75012,13.25012,8.71887,11.3678,8.8678,6.0553,10.27405,14.64905,5.66467,11.13342,14.88342,8.98499,13.82874,9.06311,11.56311,13.45764,9.78577,10.72327,13.69202,13.34045,6.46545,5.52795,9.7467,12.16858,8.10608,6.69983,13.26233,12.49084,8.42834,6.78772,13.66272,5.06897,9.13147,12.88147,9.48303,11.04553,7.92053,14.40491,6.90491,7.99866,11.74866,14.54163,11.57288,8.44788,10.01038,8.76038,11.26038,10.24475,9.30725,6.651,6.9635,13.2135,12.08069,7.00256,10.12756,12.78381,13.72131,10.9137,14.9762,12.31995,9.58557,6.92932,14.42932,6.65588,14.15588,13.06213,12.20276,8.00354,13.94104
A2,,deg,116.0498,103.26385,109.90143,122.79205,123.37799,156.19049,169.96002,160.58502,136.56158,108.43658,167.03033,168.20221,107.26471,147.10846,156.48346,148.42682,137.87994,126.74713,102.13776,163.07526,100.67291,128.21198,139.93073,116.49323,171.57135,110.63385,150.4776,142.20123,121.69342,144.25201,153.62701,159.48639,100.89264,129.01764,110.26764,114.95514,172.96295,174.13483,113.19733,137.66022,161.68365,112.4649,164.32037,106.31256,107.48444,142.82379,139.8941,105.90973,139.0152,147.21832,167.72614,139.60114,121.87653,147.65778,104.2984,152.93121,117.77496,127.14996,100.48981,154.39606,165.52887,111.62262,143.26324,101.07574,162.08649,174.97711,163.25836,129.56696,117.84821,111.54938,168.97125,155.20172,134.10797,121.21735,140.55328,103.64838,144.664,164.29291,154.91791,103.35541,106.2851,169.56635,113.31635,156.52924,133.09174,124.88861,144.51752,126.35345,133.3847,145.03021,147.37396,116.31927,108.11615,115.44037,107.23724,136.09467,132.57904,113.53607,168.6142,170.95795,118.80951,107.09076,122.14203,123.3139,120.38422,108.66547,118.91937,111.88812,130.63812,111.44867,112.03461,100.31586,126.97601,139.86664,147.48383,114.67133,118.18695,158.10394,113.57269,102.43988,142.28363,169.23676,168.94379,120.89691,102.14691,110.20355,137.74261,165.86761,152.09808,153.26996,162.64496,122.80121,165.57465,156.19965,137.44965,122.21527,133.58612,152.33612,126.55487,118.35175,141.78925,122.45331,135.34393,144.71893,166.10565,141.49628,108.09784,164.34784,151.01776,156.2912,172.69745,103.55682,148.38104,143.69354,131.97479,114.39667,103.26385,129.0451,132.56073,102.09198,127.94647,130.29022,156.65741,170.71991,162.51678,132.04803,122.67303,143.47382,150.50507,117.69257,126.48163,145.23163,146.4035,174.5285,133.95233,163.24921,167.93671,114.03046,123.40546,142.15546,141.56952,153.28827,107.58514,105.24139,133.36639,141.27655,151.23749,165.29999,133.65936,136.00311,127.32391,167.16766,121.46454,133.76923,165.40985,109.15985,111.21063,167.46063,149.88251,153.98407,147.39227,163.79852
