Design Study 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenarios/Iterations:,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter Constraint or Goal,Format,Unit,Initial Value,Optimal Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166,Scenario 167,Scenario 168,Scenario 169,Scenario 170,Scenario 171,Scenario 172,Scenario 173,Scenario 174,Scenario 175,Scenario 176,Scenario 177,Scenario 178,Scenario 179,Scenario 180,Scenario 181,Scenario 182,Scenario 183,Scenario 184,Scenario 185,Scenario 186,Scenario 187,Scenario 188,Scenario 189,Scenario 190,Scenario 191,Scenario 192,Scenario 193,Scenario 194,Scenario 195,Scenario 196,Scenario 197,Scenario 198,Scenario 199,Scenario 200
,,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated
H,,in,31.84265,32.14368,39.01453,37.85437,31.94812,34.0575,37.64343,34.83093,38.90027,38.33777,36.50964,32.67761,32.39636,33.52136,31.20105,36.82605,37.52917,32.73035,37.5116,33.15222,35.68347,35.19128,31.92175,36.49207,36.07019,32.69519,34.02893,38.52893,36.41956,37.26331,31.39221,32.4469,36.66565,39.918,34.2926,37.73792,31.55042,37.31604,34.46838,32.07776,34.60901,32.8512,32.15686,32.57874,32.29749,36.8678,34.33655,37.14905,36.44592,38.41467,35.07483,37.04358,39.505,32.19202,38.64319,36.95569,37.44788,35.901,32.35022,34.60022,38.32678,37.20178,36.35364,37.61926,31.99426,39.02551,39.09583,35.86145,34.20911,36.59973,34.84192,37.79504,32.89075,33.45325,37.17981,37.56653,39.25403,37.9884,36.93372,38.33997,32.14368,36.08118,33.12805,34.5343,37.9093,39.13977,34.56946,37.38196,38.50696,31.75696,31.47571,39.33313,36.52063,31.73938,31.24719,32.65344,37.25891,38.66516,35.29016,32.61829,33.39172,39.72,38.8761,34.37665,34.93915,36.9079,31.2829,38.73602,33.39227,36.27509,38.24384,39.826,32.37274,37.64618,36.11688,33.58563,35.97626,38.22626,33.44501,31.40594,37.87469,35.02704,34.04266,36.09052,32.29364,35.66864,31.37958,37.84833,32.25848,38.44598,37.60223,39.43,33.73505,38.65692,33.31317,33.29559,32.73309,31.25653,35.33466,33.612,31.362,36.00262,38.25262,34.80731,33.26044,31.01483,34.53046,38.53827,36.7453,35.19843,36.88593,35.00507,37.67694,37.95819,32.966,39.997,39.857,38.73163,33.35272,39.54,36.44647,39.25897,33.49335,31.02362,37.56268,39.531,33.80096,34.08221,36.40253,35.5412,33.8537,36.94745,37.40448,32.34198,35.64667,38.59979,38.32074,35.93011,31.14886,33.46918,39.657,34.03168,35.43793,33.18793,35.8598,33.32855,35.05121,37.16058,35.75433,36.80902,33.17035,38.02191,36.89691,34.92816,37.60004,36.19379,36.79144,32.29144,32.01019,38.19769,38.34711,39.19086
L1,,in,21.49353,18.90735,14.60291,17.02869,15.62244,20.26306,13.44275,19.63025,19.48083,21.16833,16.80896,21.20349,16.42224,13.04724,16.7738,15.6488,21.97693,17.21326,17.49451,14.82263,16.79138,20.37732,13.38123,21.32654,18.93591,17.81091,17.43518,21.93518,17.29456,15.88831,21.61877,21.97034,21.68909,13.12854,14.25354,16.71448,19.52698,14.6051,16.46838,19.42151,19.14026,14.8512,20.04553,17.93616,13.15491,14.63147,19.41272,18.85022,15.05334,17.02209,19.09631,18.25256,17.76038,14.94788,14.6842,19.7467,18.69202,19.39514,14.64905,21.39905,16.12561,15.00061,19.19739,20.74426,21.86926,16.52551,20.25208,21.23645,18.81067,14.45129,18.17786,21.69348,19.03918,15.10168,21.78137,15.06653,13.37903,21.39465,16.40247,17.24622,18.90735,17.21985,13.98547,18.76672,17.64172,16.97375,16.20032,21.26282,17.88782,20.13782,19.29407,20.43665,15.37415,15.6554,13.61633,15.02258,21.52649,13.93274,15.05774,19.97961,17.6593,13.58118,16.67493,14.27496,20.46246,21.30621,20.18121,19.19684,15.54059,15.89215,21.2359,17.82574,17.40387,14.66168,15.66364,17.06989,21.99176,15.24176,14.96051,13.90582,20.37457,21.9566,18.15973,17.07867,16.6568,15.5318,14.33649,21.36774,21.47321,20.91071,13.31696,21.61383,17.46539,19.85602,15.07477,19.59235,14.52985,14.03766,20.08453,16.60406,18.85406,21.24469,14.49469,18.64313,15.40875,14.27057,17.78619,21.51276,15.8526,14.58698,18.52448,20.15924,20.29987,20.58112,16.85455,18.8233,16.71393,20.08893,20.26471,14.07721,21.67096,16.60846,13.09283,16.52936,18.28717,20.81842,19.37701,20.22076,16.4942,18.48053,14.54303,19.32428,15.91412,14.22662,18.93756,20.76569,18.76837,20.31525,20.5965,19.26056,16.44806,15.32306,16.72931,18.97931,19.40118,17.43243,20.3504,14.30353,13.45978,13.24884,17.48517,15.72736,14.60236,21.07111,18.39923,19.24298,17.23907,21.73907,14.14532,18.08282,21.02716,15.12091
L2,,in,28.49243,20.98511,25.21118,5.40649,8.21899,28.37524,6.10962,19.23462,29.51782,20.14282,15.92407,12.99438,10.18188,21.43188,13.69751,9.94751,5.72876,5.78735,32.97485,23.1311,9.0686,11.17798,13.40454,26.29517,9.88892,13.63892,16.72241,31.72241,11.56616,25.62866,13.32397,8.87085,28.55835,14.08569,10.33569,21.35132,15.72632,7.75757,9.74976,24.28101,30.84351,24.98413,15.63843,28.29468,25.48218,24.77905,14.46655,27.59155,16.8103,13.9978,16.69312,19.50562,16.92749,7.55249,5.6189,7.4939,27.41577,18.50952,27.53296,20.03296,9.01733,20.26733,17.73315,19.1394,7.8894,31.3269,17.03003,15.62378,16.91284,14.56909,13.39722,26.99097,11.46362,9.58862,32.323,31.50269,7.12769,17.90894,29.86206,25.17456,20.98511,15.36011,24.26636,12.07886,15.82886,18.75854,18.52417,5.39917,24.14917,16.64917,26.96167,18.58276,16.70776,21.39526,27.25464,11.31714,30.18433,8.62183,19.87183,19.40308,11.19995,19.1687,23.8562,16.29211,29.41711,28.47961,24.72961,10.19836,18.63586,20.27649,8.08899,33.2843,8.44055,27.89368,15.29602,14.35852,19.51477,12.01477,29.82727,21.1554,8.9679,27.36633,25.02258,25.22766,21.00891,32.25891,18.43079,30.61829,26.28235,9.40735,32.84485,32.3761,6.82922,28.86047,22.29797,19.42688,17.55188,13.5675,28.09875,30.55969,23.05969,32.90344,25.40344,13.45032,11.10657,7.22473,13.31848,6.99036,27.02942,12.49817,14.37317,24.3927,34.23645,20.17395,22.75208,12.43958,28.84583,10.09583,12.08801,32.71301,9.27551,11.15051,28.49426,14.16809,18.15247,15.33997,15.69153,20.37903,15.45715,17.39075,8.01575,31.45325,5.55481,11.17981,29.69543,27.35168,9.81018,13.09143,25.27893,17.54456,26.91956,30.66956,14.73206,7.23206,11.45081,23.63831,20.00549,17.66174,31.72424,20.23987,10.92346,13.97034,32.72034,13.03284,27.56409,13.50159,9.40002,24.40002,23.46252,32.83752,18.80432,14.11682
L3,,in,10.55444,6.13794,7.58569,9.57788,10.51538,7.54663,4.65601,4.03101,7.43921,1.81421,3.53296,6.07202,8.25952,7.00952,3.33765,4.58765,7.2439,10.85718,3.66968,5.07593,4.76343,10.46655,9.33374,7.06812,1.59937,5.34937,8.37915,3.37915,5.0979,7.9104,2.71509,7.63696,1.69946,9.06274,7.81274,5.23462,4.60962,10.70337,5.82056,7.22681,9.41431,2.46118,2.41235,7.8811,6.3186,5.14673,7.33423,4.20923,4.05298,8.11548,3.70142,5.26392,7.52954,8.15454,7.43188,9.30688,5.47876,4.38501,2.9397,10.4397,1.61157,2.86157,7.7688,9.80005,6.05005,3.86255,2.69067,7.22192,2.10474,10.38599,4.83911,6.87036,1.69458,4.81958,7.08521,10.56177,4.93677,1.65552,8.76489,6.57739,6.13794,8.01294,3.79419,10.35669,6.60669,7.19263,5.8645,5.2395,3.9895,1.4895,4.927,2.21216,5.33716,9.39966,9.94653,3.38403,10.14185,10.45435,6.70435,7.7981,9.28247,5.37622,1.93872,10.53186,7.40686,6.46936,10.21936,4.12561,8.18811,8.89124,4.82874,10.25842,5.10217,9.8678,3.98889,4.92639,6.33264,3.83264,10.39514,8.75452,8.44202,2.15295,4.1842,2.35803,8.45178,9.70178,7.59241,9.15491,9.89709,1.77209,1.45959,3.17834,3.10022,3.88147,7.31897,5.776,1.401,5.54163,6.63538,8.00256,5.50256,4.72131,7.22131,7.14319,10.11194,5.51721,10.98596,7.78284,9.85315,4.6969,4.0719,3.93518,7.21643,9.40393,3.70081,3.38831,6.66956,5.41956,1.39612,3.27112,2.33362,4.20862,7.48987,4.33557,3.4762,8.7887,10.39026,6.95276,2.81213,7.1676,6.5426,3.7301,5.40979,7.28479,7.36292,7.51917,7.38,7.53625,2.22375,8.39563,6.52063,10.27063,3.08313,10.58313,5.11438,1.67688,2.96594,8.12219,5.30969,10.23157,9.74329,5.60266,4.35266,2.79016,6.69641,3.88391,7.4386,2.4386,7.7511,8.3761,6.2179,1.5304
L4,,in,11.95874,4.25122,7.73999,6.29468,11.60718,4.57593,10.90405,5.27905,10.01538,4.39038,11.42163,9.89819,10.83569,4.58569,8.72632,9.97632,5.13257,8.86304,7.30054,4.33179,5.89429,11.75366,5.23022,8.5896,5.30835,4.05835,10.49634,5.49634,10.96509,3.77759,12.64478,9.75415,6.31665,10.82837,12.07837,7.46899,6.84399,10.75024,10.32056,11.72681,7.66431,12.89868,10.36938,3.33813,7.40063,3.41626,4.35376,7.47876,4.82251,3.88501,10.33032,5.01782,10.5647,4.9397,5.54517,8.67017,12.34204,10.93579,11.20923,8.70923,10.03735,6.28735,9.7688,10.55005,11.80005,10.86255,5.00317,7.03442,4.02661,3.87036,10.35474,4.57349,12.24927,5.37427,11.70239,9.86646,11.74146,10.96021,6.97583,11.03833,4.25122,4.87622,9.40747,9.71997,8.46997,6.55591,4.29028,11.16528,4.91528,12.41528,10.22778,8.05981,6.18481,9.62231,6.88794,10.32544,4.97388,9.66138,8.41138,5.13013,6.302,12.39575,10.20825,10.70691,12.58191,7.89441,6.64441,6.80066,9.61316,9.37878,9.69128,7.77722,5.43347,3.48035,5.53113,10.84363,10.68738,8.18738,7.87488,7.48425,10.92175,6.42957,5.33582,7.37683,9.72058,8.47058,5.57996,12.76746,3.90027,5.77527,11.71277,6.86902,10.22839,10.69714,3.50964,6.34167,8.21667,4.38855,5.7948,6.53699,4.03699,6.38074,3.88074,10.99011,11.45886,10.26257,8.85632,7.99695,12.33289,11.23914,4.36414,10.36023,10.82898,6.76648,10.9071,7.4696,10.43835,4.18835,6.57117,5.94617,11.25867,3.13367,8.91492,6.62,11.07312,12.63562,11.73718,8.92468,4.00281,3.35828,12.73328,11.17078,4.33484,8.70984,5.81921,8.47546,8.26794,5.61169,10.29919,3.03357,3.65857,4.90857,12.09607,9.59607,7.56482,11.00232,11.19763,8.85388,6.04138,3.93201,8.28748,6.33435,10.08435,3.52185,4.9281,12.1156,10.59216,5.59216,9.65466,6.52966,6.89099,8.45349
L5,,in,9.72021,28.59229,20.65771,27.45459,28.07959,20.26709,19.79834,26.04834,12.66943,11.41943,18.60693,21.65381,27.27881,9.77881,28.68506,16.18506,27.74756,19.5835,15.2085,11.771,26.146,20.98975,19.34912,26.06787,18.88037,26.38037,11.21924,21.21924,28.40674,20.28174,12.85986,11.76611,27.39111,13.99268,21.49268,25.08643,18.83643,17.27393,16.5708,13.1333,20.0083,17.66455,14.16846,26.98096,22.60596,11.19971,11.82471,15.57471,19.63721,9.01221,28.46533,26.59033,14.87158,11.12158,19.28564,18.03564,28.19189,16.62939,13.73877,28.73877,20.45752,17.95752,17.94775,23.88525,11.38525,12.01025,10.604,15.2915,15.99463,28.18213,23.33838,23.02588,20.17432,18.92432,16.89307,24.00244,10.25244,20.56494,26.65869,16.03369,28.59229,14.84229,15.15479,25.77979,18.27979,13.82666,20.23291,26.48291,13.98291,18.98291,12.10791,27.06885,10.81885,26.44385,28.7876,20.6626,28.39697,15.27197,27.77197,24.95947,15.74072,14.17822,11.05322,12.72192,13.97192,12.09692,19.59692,13.65942,26.78442,19.12817,11.00317,21.23755,17.17505,19.2063,21.97974,23.85474,10.41724,25.41724,11.04224,14.94849,14.32349,22.52661,16.58911,12.74146,18.05396,25.55396,24.46021,25.08521,28.13208,19.38208,12.50708,10.31958,19.22583,28.91333,12.03833,19.49927,18.24927,20.90552,24.96802,21.92114,16.92114,9.73364,24.73364,16.13989,26.45239,18.31763,18.63013,28.47388,23.70825,9.02075,15.27075,18.90356,21.09106,11.71606,16.55981,17.18481,19.37231,21.87231,11.95044,20.70044,13.82544,25.07544,24.76294,9.5481,25.01685,14.39185,9.62622,15.25122,19.46997,18.88403,12.63403,10.75903,24.74341,15.99341,24.89966,23.96216,9.90454,18.96704,23.34204,14.43579,28.18579,15.68579,13.81079,28.81079,21.62329,22.24829,24.04517,13.10767,16.23267,15.13892,13.22485,13.6936,26.1936,25.5686,17.1311,9.0061,23.30298,13.30298,15.17798,11.42798,18.67407,9.29907
L7,,in,14.38501,24.47925,7.35376,21.0647,16.0022,16.28345,7.42407,19.79907,18.19946,17.07446,16.79321,14.61353,17.42603,19.67603,10.25415,21.50415,24.5979,22.24243,18.30493,18.02368,24.21118,24.91431,10.92212,21.75024,17.53149,15.28149,19.30249,10.30249,10.02124,19.58374,15.4353,21.48218,19.79468,17.9314,15.6814,7.10327,17.22827,11.88452,13.22046,12.37671,23.06421,8.01733,10.32007,14.53882,17.35132,21.14819,22.83569,10.46069,18.05444,9.61694,14.32788,9.26538,10.53101,16.15601,23.92554,18.30054,12.53491,8.87866,8.38647,12.88647,18.6521,16.4021,9.76636,24.67261,8.92261,10.61011,23.40698,16.93823,17.14917,23.61792,23.19604,11.66479,15.21558,9.59058,18.7312,21.05151,24.42651,21.89526,14.72339,20.91089,24.47925,14.35425,21.3855,7.323,23.073,24.12769,18.92456,8.79956,11.04956,24.54956,14.98706,16.78003,22.40503,18.46753,7.6394,17.2019,16.56909,12.63159,19.38159,11.22534,11.36597,23.45972,13.89722,20.75159,19.62659,24.68909,8.93909,8.65784,9.22034,15.26721,20.32971,20.2594,12.10315,17.86877,23.03674,19.09924,21.63049,17.13049,23.31799,10.80237,7.98987,10.59143,23.81018,18.55432,16.58557,14.33557,15.31995,12.50745,11.73401,17.35901,12.29651,21.01526,24.81213,19.46838,20.03088,23.01917,19.64417,20.90979,21.75354,14.65198,10.15198,8.18323,12.68323,14.51135,12.5426,10.67053,18.82678,22.90491,18.47522,19.31897,9.19397,17.38538,8.66663,20.47913,19.776,16.9635,10.49475,12.74475,24.20569,14.08069,20.26819,23.64319,12.11194,16.27795,10.51233,16.69983,23.94202,15.50452,9.73889,24.18811,11.81311,14.62561,10.33655,22.71155,23.13342,17.22717,24.17493,16.01868,24.45618,13.9093,24.0343,8.2843,16.7218,21.2218,23.19055,22.62805,13.97961,17.63586,8.07336,19.74524,23.29602,8.5304,10.7804,7.9679,7.12415,17.81165,11.69446,20.69446,10.00696,17.88196,11.74719,19.05969
L8,,in,12.49146,6.50757,14.21021,11.28052,7.21802,8.31177,9.17114,12.29614,10.41138,9.78638,5.88013,6.07544,8.26294,14.51294,8.96606,10.21606,12.24731,5.04028,12.85278,11.75903,10.82153,9.49341,8.28247,8.9856,12.89185,6.64185,6.10229,11.10229,14.38354,13.44604,12.93823,14.89136,7.07886,12.25464,8.50464,6.86401,8.73901,10.14526,9.71558,13.93433,11.12183,11.0437,14.49097,8.70972,5.89722,12.53784,7.22534,10.35034,11.13159,5.81909,13.74878,7.81128,5.3894,13.5144,8.18237,8.80737,5.448,8.41675,6.89331,14.39331,6.97144,10.72144,9.46655,14.6228,5.8728,14.3103,12.20093,12.04468,8.09937,14.19312,5.52124,7.55249,8.97827,8.35327,9.21265,7.06421,8.93921,11.59546,14.48608,10.42358,6.50757,8.38257,6.03882,5.10132,13.85132,14.98413,6.62476,14.74976,8.49976,5.99976,12.56226,10.66772,11.29272,9.10522,11.8396,10.2771,5.62866,14.69116,5.94116,11.72241,5.70679,13.05054,5.86304,6.76697,12.39197,6.45447,12.70447,14.42322,11.61072,6.84509,7.15759,5.32166,9.54041,9.77478,12.76306,8.70056,14.79431,7.29431,14.48181,12.84119,12.52869,11.08337,6.23962,14.45251,8.98376,10.23376,14.99939,14.68689,14.8822,8.0072,11.4447,5.66345,11.52283,8.24158,5.42908,9.78455,7.90955,5.33142,10.80017,8.10486,10.60486,14.19861,6.69861,11.15173,8.18298,8.4906,6.14685,7.31873,12.67029,14.38904,6.26404,6.98669,13.70544,11.51794,7.53357,7.84607,11.75232,13.00232,12.49451,13.11951,6.55701,5.93201,8.58826,7.09412,8.57849,13.26599,6.43005,14.86755,7.75818,14.30115,7.42615,12.73865,10.27771,10.90271,6.29333,13.63708,11.92078,8.01453,10.20203,5.7489,8.8739,10.1239,11.6864,9.1864,14.96765,14.65515,6.72546,8.13171,9.69421,8.05359,9.01062,12.83875,9.08875,8.77625,8.3075,9.87,5.84656,10.84656,6.78406,14.90906,13.66882,8.98132
A2,,deg,101.76697,156.13098,173.25134,105.57556,145.41931,160.65369,157.724,124.9115,149.59412,144.90662,160.14099,158.09021,165.12146,174.49646,141.09802,169.22302,149.30115,120.44373,164.97498,161.45935,135.6781,155.01404,101.98669,154.13513,113.11951,122.49451,147.96448,110.46448,135.07385,142.1051,113.68713,136.5387,167.00745,106.21643,134.34143,130.23987,163.05237,171.25549,131.11877,104.16565,167.4469,119.98596,170.44983,129.4342,136.46545,122.98889,111.27014,125.33264,168.69202,114.78577,126.79749,161.95374,130.89905,173.08655,167.08069,106.14319,166.49475,120.79163,155.06897,136.31897,172.06116,162.68616,140.5304,167.48352,139.35852,169.82727,127.05383,168.06946,133.20618,155.4718,137.30774,140.82336,100.83313,171.14563,172.90344,150.93079,155.61829,159.13391,160.89172,111.67297,156.13098,104.56848,173.70911,171.36536,143.24036,158.7677,173.41614,131.22864,121.85364,103.10364,157.00989,106.76575,167.70325,137.2345,108.52356,167.11731,111.74622,104.71497,132.83997,169.16809,129.91028,119.3634,140.45715,123.17657,146.61407,106.77032,134.89532,131.3797,110.28595,100.32501,102.66876,155.11017,153.93829,119.36798,119.80743,159.65118,102.22931,158.47931,128.01056,154.37775,166.0965,125.95978,115.4129,147.71271,146.54083,174.66583,126.03302,100.25177,149.76349,163.82599,166.16974,136.87286,151.5213,133.94318,117.53693,122.95685,155.76935,151.66779,162.21466,169.53888,113.28888,109.77325,166.02325,115.04669,120.90607,109.66339,141.30402,141.88995,173.82355,167.96417,135.15167,150.53253,135.29816,142.32941,124.16534,103.07159,139.39972,130.02472,111.56769,144.38019,151.41144,127.97394,150.23956,155.43976,148.99445,137.2757,124.0921,145.18585,173.89679,119.25812,161.44562,154.41437,120.72296,106.66046,157.63702,118.96515,149.74518,113.41705,153.2608,158.53424,135.09674,106.97174,170.25299,114.00299,105.79987,122.20612,133.6319,134.80377,141.83502,164.68658,166.00494,117.37213,107.99713,119.71588,127.91901,149.01276,146.96198,109.46198,102.43073,144.61823,115.24811,108.21686
